i	j	affiliation
KACIAF NICOLAS	2015_ST48	IEP LILLE / CERAPS, U. LILLE 2
KACIAF NICOLAS	2017_ST1	IEP LILLE / CERAPS, U. LILLE 2
KACIAF NICOLAS	2017_ST49	IEP LILLE / CERAPS, U. LILLE 2
KALIBATAITE ZIVILE	2017_ST63	U. NAMUR / U. PARIS EST
KALUSZYNSKI MARTINE	2009_ST50	NA
KALUSZYNSKI MARTINE	2017_ST59	CNRS / PACTE
KAMEL NADIA	2017_ST28	U. HASSAN II DE CASABLANCA LABORATOIRE DES POLITIQUES PUBLIQUES
KAPP SEBASTIEN	2017_ST15	CSO, SCIENCES PO PARIS
KARILA PIERRE	2013_ST2	NA
KARIMI HANANE	2017_ST53	U. STRASBOURG LABORATOIRE DYNAMIQUES EUROPEENNES
KASTORYANO RIVA	2015_ST5	CERI, SCIENCES PO PARIS
KATAYOUN SAFI	2009_ST42	KATAYOUN SAFI U. ZURICH
KAUFFER EDITH	2009_ST30	CENTRO DE INVESTIGACIONES Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL
KAY STEPHEN	2009_ST23	STEPHEN J KAY RESEARCH DEPARTMENT, FEDERAL RESERVE BANK OF ATLANTA
KAYA SUMBUL	2009_ST47	PARIS 1
KAYA SUMBUL	2011_ST10	U. PANTHEON SORBONNE PARIS 1, CESSP
KAYA SUMBUL	2017_ST50	IFEA, U. LILLE 2 ET CNRS
KAYO SIKOMBE ANDRE	2013_ST9	U. YAOUNDE 2 SOA (CAMEROUN)
KEBABZA HORIA	2011_ST22	U. TOULOUSE LE MIRAIL, GROUPE SAGESSE
KELBEL CAMILLE	2015_ST45	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
KELLNER THIERRY	2013_ST49	U. LIBRE BRUXELLES, REPI
KEMPF HUBERT	2009_ST4	U. PARIS 1, CES ET BANQUE DE FRANCE
KERGOMARD ZOE	2013_ST24	U. FRIBOURG, DEPARTEMENT HISTORISCHE WISSENSCHAFTEN
KERNALEGENN TUDI	2017_ST41	U. LAUSANNE, CENTRE DE RECHERCHE SUR LACTION POLITIQUE CRAPUL
KERNEN ANTOINE	2009_ST23	U. LAUSANNE (SUISSE)
KERROUCHE ERIC	2009_ST11	SPIRIT
KERSCHEN NICOLE	2015_ST39	ISP UMR 728 0 PARIS OUEST U. NANTERRE LA DEFENSE
KEUTCHEU JOSEPH	2011_ST29	U. DSCHANG, CAMEROUN
KEYHANI NARGUESSE	2017_ST50	U. PARIS 10, ENS PARIS SACLAY
KHAROUF RANA	2009_ST30	GAUDIG FACULTE DE DROIT, U. PARIS DESCARTES
KHEMILAT FATIMA	2015_ST16	CHERPA, AIX EN PROVENCE
KHROUZ NADIA	2015_ST59	PACTE GRENOBLE CJB
KIENLEN PAULINE	2011_ST5	EIUC, VENISE
KIES RAPHAEL	2009_ST1	U. DU LUXEMBOURG
KIWAN FADIA	2009_ST48	INSTITUT DE SCIENCE POLITIQUE, U. SAINT JOSPEH, BEYROUTH
KLEIN ASMARA	2013_ST45	CERI, SCIENCES PO PARIS
KLEIN ASMARA	2015_ST54	PUBLISH WHAT YOU PAY / A CONFIRMER
KLEKOWSKI VON KOPPENFELS AMANDA	2017_ST41	U. KENT, BRUSSELS SCHOOL OF INTERNATIONAL STUDIES
KLETZLEN ANNE	2009_ST24	ET FABRICE HAMELIN INRETS DEST DEPARTEMENT DECONOMIE ET DE SOCIOLOGIE DES TRANSPORTS
KLIMA MICHAL	2015_STRC20IPSA	METROPOLITAN UNIVERSITY PRAGUE
KNUDSEN ANN CHRISTINA	2013_ST56	NA
KOEBEL MICHEL	2011_ST39	U. STRASBOURG, EQUIPE DE RECHERCHE EN SCIENCES SOCIALES DU SPORT
KOEBEL MICHEL	2013_ST36	U. STRASBOURG << SPORT ET SCIENCES SOCIALES >> / SAGE
KOHL SEBASTIAN	2015_ST40	MAX PLANCK INSTITUTE FOR THE STUDY OF SOCIETIES MPIFG, COLOGNE
KOLOPP SARAH	2015_ST28	ENS ULM CMH
KOPPE SOPHIE	2015_ST39	U. DU SUD TOULON VAR
KOSMOPOULOS DIMITRIOS	2015_ST21	U. PARIS 9
KOSTERA THOMAS	2011_ST46	U. LIBRE BRUXELLES (BELGIQUE)
KOTRAS BAPTISTE	2015_ST18	UNIVERTITE PARIS EST, LATTS IFRIS
KOUNTOURI FANI	2011_ST16	CENTRE NATIONAL DES RECHERCHES EN SCIENCES SOCIALES, GRECE
KOVACS ATTILA	2017_ST38	CORVINUS UNIVERSITY BUDAPEST
KREIL AYMON	2015_ST47	UFSP ASIEN UND EUROPA, U. ZURICH
KREILINGER VALENTIN	2015_ST43	HERTIE SCHOOL OF GOVERNANCE, BERLIN
KRICK EVA	2015_ST25	HUMBOLDT UNIVERSITY BERLIN
KRIGER NORMA	2011_ST6	NA
KROEZE RONALD	2015_STRC20IPSA	U. AMSTERDAM
KROUWEL ANDRE	2011_ST33	VRIJE UNIVERSITEIT, AMSTERDAM
KRYZHANOUSKI YAUHENI	2011_ST48	GSPE-PRISME/IEP STRASBOURG
KRZATALA EWA	2013_ST7	JAWORSKA U. PARIS 1
KUCZALA AGNIESZKA	2015_ST45	U. LILLE 2 ET KSAP VARSOVIE
KUHLMANN SABINE	2011_ST25	DHV SPEYER
KUHLMANN SABINE	2011_ST27	ECOLE SUPERIEURE ALLEMANDE DES SCIENCES ADMINISTRATIVES DE SPIRE
KYRIAKI NANOU	2011_ST46	ET STEPHANIE NOVAK INSTITUT UNIVERSITAIRE EUROPEEN, FLORENCE
LABATUT VINCENT	2015_ST7	LIA, U. AVIGNON
LABORIER PASCALE	2011_ST25	U. DAMIENS
LABOURET SIMON	2013_ST26	PACTE, IEP GRENOBLE
LABUSSIERE MARIE	2017_ST27	EHESS ENS
LABUSSIERE OLIVIER	2017_ST17	PACTE
LABZAE MEHDI	2015_ST59	CESSP, U. PARIS 1
LACOMBE DELPHINE	2013_ST46	IRIS EHESS PARIS
LACOMBE LOUISE	2011_ST11	CURAPP, U. PICARDIE
LACROIX BERNARD	2011_ST1	ET PHILIPPE RIUTORT DIR
LACROIX BERNARD	2013_ST52	U. PARIS 10, GROUPE DANALYSE POLITIQUE
LACROIX JUSTINE	2011_ST47	DEPARTEMENT DE SCIENCE POLITIQUE, U. LIBRE BRUXELLES (BELGIQUE)
LACROIX JUSTINE	2013_ST65	U. LIBRE BRUXELLES, CENTRE DE THEORIE POLITIQUE
LACUISSE MARIE ESTHER	2009_ST25	CERI, SCIENCES PO PARIS
LACUISSE MARIE ESTHER	2017_ST67	CERIC, U. AIX MARSEILLE
LAETHIER MAUD	2009_ST35	IRD
LAFLEUR JEAN MICHEL	2015_ST5	CEEM/U. LIEGE)
LAGNEAU ERIC	2013_ST24	EHESS, GSPM
LAGRANGE DELPHINE	2013_ST45	SCIENCES PO PARIS
LAHIEYTE LILIAN	2015_ST17	U. PARIS 1 CESSP
LAHIRE BERNARD	2013_ST2	NA
LAIR ERIC	2011_ST9	U. DU ROSAIRE, BOGOTA
LAIR ERIC	2013_ST53	UNIVERSIDAD DEL ROSARIO, BOGOTA
LAMARCHE KARINE	2009_ST47	ENS CMH
LAMB THOMA	2017_ST10	CERSA, U. PARIS 2
LAMBELET ALEXANDRE	2009_ST37	CRAPUL/IEPI LAUSANNE (SUISSE)
LAMBELET ALEXANDRE	2011_ST26	CRPS, U. PARIS 1
LAMBELET ALEXANDRE	2013_ST19	NA
LAMBELET ALEXANDRE	2013_ST8	CEE, SCIENCES PO PARIS
LAMOUREUX DIANE	2011_ST52	U. LAVAL (CANADA)
LAMOUREUX DIANE	2011_ST53	U. LAVAL (CANADA), QUEBEC
LAMY JEROME	2013_ST20	LISST CAS/U. TOULOUSE 2 LE MIRAIL
LAMY JEROME	2015_ST57	U. VERSAILLES SAINT QUENTIN
LANCELEVEE CAMILLE	2011_ST25	IRIS EHESS PARIS & CMB BERLIN
LANCELEVEE CAMILLE	2013_ST5	IRIS EHESS PARIS, CMB BERLIN
LANCELEVEE CAMILLE	2017_ST13	DIRECTION DE LADMINISTRATION PENITENTIAIRE, IRIS EHESS PARIS
LANCIEN ANNE	2017_ST32	GSRL, EPHE PARIS
LANDRIN XAVIER	2009_ST46	GROUPE DANALYSE POLITIQUE, U. PARIS 10
LANDRIN XAVIER	2009_ST50	GAP, CSE, U. PARIS 10
LANDRIN XAVIER	2011_ST51	U. PARIS 10, GROUPE DANALYSE POLITIQUE
LANDRIN XAVIER	2013_ST60	GROUPE DANALYSE POLITIQUE/U. PARIS OUEST
LANG BERTRAM	2015_ST19	IEP AIX EN PROVENCE / COLLEGE EUROPE BRUGES (BELGIQUE)
LANG MARION	2017_ST50	U. JEAN MONNET DE SAINT ETIENNE / U. AUTONOMA BARCELONA (ESPAGNE)
LANTIN MICKAELE	2013_ST5	MALLET IRIS EHESS PARIS
LAOUFI SELIM	2011_ST18	NA
LAPLANCHE SOLINE	2009_ST36	SERVIGNE SCIENCES PO PARIS CEVIPOF, SCIENCES PO PARIS
LAPLANCHE SOLINE	2011_ST48	SERVIGNE CEE/SCIENCES PO PARIS
LAPLANCHE SOLINE	2013_ST11	SERVIGNE U. FRANCOIS RABELAIS DE TOURS / CEE SCIENCES PO PARIS
LAPLANCHE SOLINE	2015_ST50	SERVIGNE CMH ENS/EHESS PARIS
LAPORTE CAMILLE	2015_ST54	CERI, SCIENCES PO PARIS
LARA PHILIPPE	2009_ST51	PHILIPPE DE LARA U. PARIS 2 DROIT PUBLIC ET DE SCIENCE POLITIQUE/ INSTITUT MICHEL VILLEY
LARAT FABRICE	2011_ST46	CENTRE DEXPERTISE ET DE RECHERCHE ADMINISTRATIVE ENA
LARAT FABRICE	2013_ST56	ENA / CERA
LARCHER SILYANE	2017_ST50	U. PARIS DIDEROT
LARDEUX LAURENT	2013_ST11	THIBAUT RIOUFREYT, VALERIE SALA PALA LABORATOIRE TRIANGLE UMR CNRS 5206
LARDONE MARTIN	2009_ST25	SCIENCES PO/CEVIPOF, SCIENCES PO PARIS
LASCOUMES PIERRE	2009_ST14	CEE
LASCOUMES PIERRE	2009_ST41	CNRS CEE
LASCOUMES PIERRE	2011_ST11	CEE, SCIENCES PO PARIS
LASCOUMES PIERRE	2013_ST17	CEE, SCIENCES PO PARIS
LASSALLE MARINE	2009_ST121	MARINE DE LASSALLE IEP STRASBOURG, GSPE-PRISME
LASSALLE MARINE	2011_ST35	MARINE DE LASSALLE PRISME IEP STRASBOURG
LATTE STEPHANE	2009_ST38	ENS/EHESS PARIS
LATTE STEPHANE	2011_ST13	U. HAUTE ALSACE/GSPE
LATTE STEPHANE	2013_ST33	U. HAUTE ALSACE, PRISME
LAUMOND BENEDICTE	2015_ST32	CESDIP, U. VERSAILLES SAINT QUENTIN
LAURENS SYLVAIN	2013_ST10	EHESS/CRIA
LAURENS SYLVAIN	2013_ST2	CRIA EHESS PARIS
LAURENS SYLVAIN	2017_ST19	EHESS, CESSP
LAURENT ANNIE	2009_ST48	CERAPS, U. LILLE 2
LAURENT ANNIE	2009_ST5	CERAPS, U. LILLE 2
LAURENT ANNIE	2013_ST28	CERAPS, U. LILLE 2
LAURENT BRICE	2009_ST43	CSI, MINES PARISTECH
LAURENT BRICE	2013_ST16	CSI, MINES PARISTECH
LAURENT BRICE	2017_ST19	CSI, MINES PARISTECH
LAURENT MATHIEU	2013_ST57	CENTRE DETUDES ET DE RECHERCHE EN SCIENCE ADMINISTRATIVE U. PARIS 2
LAUTIER BRUNO	2009_ST23	IEDES, U. PARIS 1
LAUTIER BRUNO	2009_ST25	U. PARIS 1
LAVABRE ALICE	2017_ST51	EHESS PARIS
LAVABRE MARIE CLAIRE	2009_ST38	CEE
LAVABRE MARIE CLAIRE	2011_ST50	ISP
LAVIELLE JULIE	2015_ST52	ISP, CNRS/U. PARIS OUEST
LAVIGNE DELVILLE PHILIPPE	2015_ST30	IRD UMR GRED
LAVIGNE DELVILLE PHILIPPE	2017_ST21	INSTITUT DE RECHERCHE ET DE DEVELOPPEMENT
LAVOIE KEVIN	2013_ST32	UNIVERISTE DU QUEBEC EN OUTAOUAIS / UQO
LAWEHRLEN THOMAS	2009_ST7	NA
LAWSON DENIS	2013_ST51	IEP BORDEAUX U. BORDEAUX IV
LE BART CHRISTIAN	2011_ST51	IEP RENNES
LE BART CHRISTIAN	2013_ST38	CRAPE, IEP RENNES
LE BART CHRISTIAN	2015_ST23	CRAPE, IEP RENNES
LE BERRE SYLVAIN	2013_ST13	IEP RENNES, U. RENNES 1, CRAPE
LE BERRE SYLVAIN	2015_ST41	CRAPE/IEP RENNES
LE BOT FLORENT	2009_ST33	IDHE ENS CACHAN
LE BOULAY MORGANE	2009_ST18	U. PARIS 9/IRISES ; CMB/HU BERLIN INSTITUT FUR GESCHICHTSWISSENSCHAFTEN
LE BOURHIS JEAN PIERRE	2011_ST11	CURAPP, U. PICARDIE
LE BOURHIS JEAN PIERRE	2011_ST26	CURAPP, U. PICARDIE
LE BOURHIS JEAN PIERRE	2013_ST13	CURAPP, U. PICARDIE
LE BOURHIS JEAN PIERRE	2015_ST18	CURAPP ESS, U. PICARDIE
LE BOURHIS JEAN PIERRE	2017_ST16	CRAPE ARENES, IEP RENNES
LE BOURHIS JEAN PIERRE	2017_ST22	CRAPE ARENES, IEP RENNES
LE BOURHIS JEAN PIERRE	2017_ST23	CURAPP, U. PICARDIE
LE BRAS CHOPARD ARMELLE	2009_ST15	U. VERSAILLES SAINT QUENTIN
LE BRETON FALEZAN ISABELLE	2013_ST47	CELSA U. PARIS 4 / GRIPIC
LE CAPITAINE CATHERINE	2013_ST30	U. LAVAL (CANADA)
LE CAROFF CORALIE	2017_ST52	CARISM, U. PARIS 2
LE COQ JEAN FRANCOIS	2011_ST18	ET PHILIPPE MERAL POINTENT LE FORT DEVELOPPEMENT DINSTRUMENTS DE PAIEMENT POUR SERVICES ENVIRONNEMENTAUX PSE
LE COUR GRANDMAISON ROMAIN	2015_ST53	CESSP, U PARIS 1
LE COZANET LAURENE	2015_ST31	IRISSO PARIS DAUPHINE
LE DEVEDEC NICOLAS	2009_ST51	U. RENNES 1, SCIENCE POLITIQUE ET U. MONTREAL, SOCIOLOGIE
LE DEVEDEC NICOLAS	2015_ST26	U. MONTREAL (CANADA)
LE DIGOL CHRISTOPHE	2009_ST46	U. PARIS 10, GROUPE DANALYSE POLITIQUE
LE DIGOL CHRISTOPHE	2013_ST39	GROUPE DANALYSE POLITIQUE DE NANTERRE, U. PARIS 10
LE DIGOL CHRISTOPHE	2017_ST3	ISP, U. PARIS 10
LE DIGOL CHRISTOPHE	2017_ST48	ISP, U. PARIS 10
LE FRIANT MARTINE	2011_ST39	U. AVIGNON ET DES PAYS DE VAUCLUSE, LBNC
LE GALES PATRICK	2009_ST14	CEE
LE GALES PATRICK	2009_ST20	CNRS CEE
LE GALES PATRICK	2011_ST19	CNRS CEE / SCIENCES PO PARIS
LE GALES PATRICK	2017_ST11	LE GALES PATRICK, LE RETOUR DES VILLES EUROPEENNES SOCIETES URBAINES, MONDIALISATION, GOUVERNEMENT ET GOUVERNANCE, PARIS, PRESSES DE SCIENCES PO, 2003 LORRAIN DOMINIQUE 2011
LE GALES PATRICK	2017_ST18	NA
LE GALL ARNAUD	2009_ST43	U. PARIS 1
LE GALL LAURENT	2015_ST3	U. BREST
LE GOFF ALICE	2011_ST47	U. PARIS DESCARTES
LE GRIGNOU BRIGITTE	2013_ST24	U. PARIS 1X, IRISSO
LE HUEROU ANNE	2009_ST47	LE HAVRE, CERCEC
LE HUEROU ANNE	2011_ST8	EHESS PARIS
LE LANN YANN	2013_ST16	IDHE, UPEC
LE LIDEC PATRICK	2011_ST40	CERSA / CNRS ET PARIS II
LE MAT AURORE	2013_ST33	CERAPS, U. LILLE 2
LE MAZIER JULIE	2015_ST10	CESSP-CRPS, U. PARIS 1
LE MAZIER JULIE	2017_ST3	CESSP, U. PARIS 1
LE NAOUR GWENOLA	2009_ST45	U. LYON, IEP LYON, TRIANGLE
LE NAOUR GWENOLA	2017_ST12	NA
LE NAOUR GWENOLA	2017_ST51	SCIENCES PO LYON
LE PRESTRE DENIS	2011_ST18	NA
LE RENARD AMELIE	2011_ST53	U. VERSAILLES SAINT QUENTIN
LE SAOUT REMY	2009_ST122	U. NANTES
LE SAOUT REMY	2011_ST40	CENS
LE SAOUT REMY	2015_ST6	U. NANTES, CENS
LE SAOUT REMY	2017_ST34	CENTRE NANTAIS DE SOCIOLOGIE CENS CNRS
LE SI NAM NAM	2013_ST24	NA
LEBARON FREDERIC	2013_ST16	CURAPP, U. JULES VERNE PICARDIE
LEBARON FREDERIC	2015_ST57	U. VERSAILLES SAINT QUENTIN
LEBOURG NICOLAS	2013_ST27	U. PERPIGNAN
LEBOYER OLIVIA	2009_ST52	SCIENCES PO/CLERMONT 1
LEBOYER OLIVIA	2013_ST51	PACTE
LEBOYER OLIVIA	2017_ST74	PACTE/IRSEM
LEBRETON ISABELLE	2015_ST55	NA
LEBROU VINCENT	2013_ST4	IEP STRASBOURG, SAGE
LEBROU VINCENT	2015_ST41	SAGE, U. STRASBOURG
LEBROU VINCENT	2017_ST19	SAGE
LEBROU VINCENT	2017_ST22	U. STRASBOURG SAGE
LECA JEAN	2009_ST14	SCIENCES PO PARIS
LECA JEAN	2009_ST3	SCIENCES PO PARIS
LECA JEAN	2009_ST49	SCIENCES PO PARIS
LECA JEAN	2011_ST9	SCIENCES PO PARIS
LECA JEAN	2013_ST40	SCIENCES PO PARIS
LECHAUX BLEUWENN	2015_ST14	CRAPE, RENNES 2
LECHAUX BLEUWENN	2017_ST45	CRAPE ARENES, U. RENNES 2
LECHAUX BLEUWENN	2017_ST48	CRAPE ARENES, U. RENNES 2
LECHEVALIER ARNAUD	2009_ST23	LECHEVALIER ARNAUD U. PARIS 1
LECHEVALIER ARNAUD	2015_ST38	U. PARIS 1, LISE CNRS / CNAM
LECLER ROMAIN	2015_ST19	ENS / CESSP, U. PARIS 1
LECLER ROMAIN	2015_ST28	ENS / CESSP, U. PARIS 1
LECLER ROMAIN	2017_ST2	ENS
LECLERC ARNAUD	2011_ST47	NA
LECLERC ARNAULD	2015_ST29	DCS, U. NANTES
LECLERC ARNAULD	2017_ST74	DCS, U. NANTES
LECLERCQ CATHERINE	2011_ST49	U. LAUSANNE (SUISSE)
LECOMBE DELPHINE	2011_ST4	CERI, SCIENCES PO PARIS
LECOMBE DELPHINE	2015_ST57	CERI, SCIENCES PO PARIS
LECOMTE DAMIEN	2017_ST37	CESSP, U. PARIS 1
LECONTE CECILE	2011_ST46	CERAPS, U. LILLE 2
LECUYER LAUREN	2013_ST40	CIRAD, UMR ART DEV 5281
LEDOUX CLEMENCE	2009_ST15	CEE, SCIENCES PO PARIS
LEDOUX CLEMENCE	2011_ST20	CEE, SCIENCES PO PARIS
LEDOUX CLEMENCE	2011_ST29	CEE, SCIENCES PO PARIS
LEDOUX CLEMENCE	2013_ST6	DCS, U. NANTES
LEDOUX CLEMENCE	2013_ST8	DCS, U. NANTES / CEE, SCIENCES PO PARIS
LEDOUX CLEMENCE	2017_ST5	DCS, U. NANTES
LEE KILHO	2017_ST1	NA
LEFEBURE PIERRE	2009_ST122	SPIRIT, IEP BORDEAUX
LEFEBURE PIERRE	2009_ST13	IEP BORDEAUX
LEFEBURE PIERRE	2011_ST33	IEP BORDEAUX / CED
LEFEBURE PIERRE	2015_ST7	U. PARIS 13 SPC / LCP
LEFEBURE PIERRE	2015_ST9	U. PARIS 13
LEFEBURE PIERRE	2017_ST39	U. PARIS 13 IRISSO
LEFEBVRE REMI	2009_ST122	U. REIMS
LEFEBVRE REMI	2009_ST7	CERAPS, U. LILLE 2
LEFEBVRE REMI	2011_ST31	CERAPS, U. LILLE 2
LEFEBVRE REMI	2011_ST40	CERAPS, U. LILLE 2
LEFEBVRE REMI	2013_ST10	CERAPS, U. LILLE 2
LEFEBVRE REMI	2013_ST28	CERAPS, U. LILLE 2
LEFEBVRE REMI	2013_ST30	CERAPS, U. LILLE 2
LEFEBVRE REMI	2015_ST20	CERAPS, U. LILLE 2
LEFEBVRE REMI	2015_ST21	CERAPS, U. LILLE 2
LEFEBVRE REMY	2017_ST42	CERAPS, U. LILLE 2
LEFEUVRE SONIA	2013_ST21	LABORATOIRE GEOARCHITECTURE
LEFEVERE JONAS	2011_ST33	ANTWERP UNIVERSITY
LEFEVRE NICOLAS	2011_ST51	U. REIMS CHAMPAGNE ARDENNES, LABORATOIRE DETUDE ET DE RECHERCHE SUR LES PROFESSIONNALISATIONS / LERP, JE2537
LEFRANC SANDRINE	2011_ST4	POLITISTE, CHERCHEUSE AU CNRS, CEDRIC MAYRARGUE, DOCTEUR EN SCIENCE POLITIQUE, CHARGE DE PROGRAMMES POUR LENSEIGNEMENT SUPERIEUR AU CENTRE INTERNATIONAL DETUDES PEDAGOGIQUES CIEP
LEFRANC SANDRINE	2011_ST9	ISP
LEFRANC SANDRINE	2013_ST44	CNRS ISP U. PARIS 10
LEFRANC SANDRINE	2013_ST50	ISP, U. PARIS 10
LEFRANC SANDRINE	2015_ST51	CNRS/ISP
LEFRANC SANDRINE	2015_ST52	ISP
LEFRANC SANDRINE	2017_ST64	CNRS ISP, U. PARIS OUEST, NANTERRE
LEFRANC SANDRINE	2017_ST67	NA
LEGARE KATHIA	2009_ST31	U. LAVAL (CANADA), QUEBEC
LEGER REMI	2013_ST14	SIMON FRASER UNIVERSITY
LEGRAND FLORENT	2017_ST34	U. LIBRE BRUXELLES, CEPAP
LEGRIS MARTINE	2013_ST21	CERAPS, U. LILLE 2
LEGRIS MARTINE	2017_ST44	CERAPS, U. LILLE 2
LEGRIS PATRICIA	2009_ST29	CRPS, U. PARIS 1
LEGUIL JEAN FRANCOIS	2013_ST55	NA
LEHINGUE PATRICK	2009_ST5	CURAPP, U. PICARDIE
LEHINGUE PATRICK	2011_ST35	UPJV CURAPP
LEHINGUE PATRICK	2015_ST10	CURAPP, UPJV
LEHINGUE PATRICK	2017_ST42	UPJV CURAPP ESS
LEHMBRUCH BARBARA	2015_STRC20IPSA	NA
LEHUGER CLEMENTINE	2017_ST33	PARIS I PANTHEON SORBONNE, CESSP
LEJEUNE AUDE	2013_ST50	CERAPS, U. LILLE 2
LEJEUNE CAROLINE	2013_ST62	CERAPS, U. LILLE 2
LEJEUNE MARIE	2009_ST36	PARIS 7 URMIS
LELANDAIS GULCIN ERDI	2009_ST30	NA
LELEUX MARC	2009_ST33	INSTITUT DE RECHERCHES HISTORIQUES DU SEPTENTRION IRHIS
LELOUP MATHILDE	2017_ST73	CERI, SCIENCES PO PARIS
LEMAIRE ELODIE	2011_ST11	CURAPP, U. PICARDIE
LEMAY NICOLAS	2011_ST3	HEBERT ECOLE DES SCIENCES DE GESTION ET CHAIRE RAOUL DANDURAND EN ETUDES STRATEGIQUES ET DIPLOMATIQUES, U. QUEBEC MONTREAL, OSCE
LEMERCIER CLAIRE	2009_ST33	INSTITUT DHISTOIRE MODERNE ET CONTEMPORAINE
LEMERCIER CLAIRE	2013_ST34	CSO, CNRS SCIENCES PO PARIS
LEMERCIER ELISE	2013_ST11	ELISE PALOMARES ET DYSOLA DYNAMIQUES SOCIALES ET LANGAGIERES
LEMETTRE SONIA	2009_ST28	LET ENTPE, U. LYON
LEMIEUX CYRIL	2009_ST50	GSPM IMM, EHESS PARIS
LEMOINE BENJAMIN	2011_ST11	CSI, MINES PARIS TECH
LEMOINE BENJAMIN	2011_ST45	CSI/ U. DAUPHINE
LEMOINE BENJAMIN	2013_ST16	CSO, SCIENCES PO PARIS, ET IFRIS, U. PARIS EST
LEMOINE BENJAMIN	2015_ST31	IRISSO PARIS DAUPHINE
LEMOINE BENJAMIN	2017_ST19	IRISSO
LEMOINE BENJAMIN	2017_ST4	IRISSO PARIS DAUPHINE
LEMOINE BENJAMIN	2017_ST73	IRISSO, U. PARIS 9
LENDARO ANALISA	2013_ST42	ENAP, CANADA, CREVAJ, MONTREAL/LEST CNRS
LENDARO ANALISA	2013_ST65	NA
LENDARO ANNALISA	2009_ST27	CNRS LEST, AIX EN PROVENCE
LENGAUER GUENTHER	2011_ST33	U. INNSBRUCK
LENGUITA PAULA	2015_ST14	CEIL, U. BUENOS AIRES
LENOIRE JUSTINE	2015_ST35	SCIENCES PO LILLE / CERAPS, U. LILLE 2
LEOBAL CLEMENCE	2015_ST17	U. PARIS DESCARTES CERLIS IRIS
LEON THOMAS	2013_ST62	CEVIPOF, SCIENCES PO PARIS
LEONARD ERIC	2013_ST12	IRD
LEONARD EVELYNE	2009_ST20	U. CATHOLIQUE LOUVAIN (BELGIQUE)
LEONARD THOMAS	2011_ST41	CERAPS, U. LILLE 2
LEONARD THOMAS	2017_ST44	CERAPS, U. LILLE 2
LEPINAY THOMAS	2017_ST75	CESSP, U. PARIS 1
LEPONT ULRIKE	2013_ST1	CEPEL, MONTPELLIER 1
LEPONT ULRIKE	2015_ST33	U. VERSAILLES SAINT QUENTIN / CEPEL
LEPONT ULRIKE	2017_ST20	CSO, SCIENCES PO PARIS
LEPONT ULRIKE	2017_ST8	CSO
LEPRETRE NICOLAS	2015_ST35	ENS LYON / INSTITUT DASIE ORIENTALE
LEPRETRE NICOLAS	2017_ST10	INSTITUT DASIE ORIENTALE, ENS LYON
LEPROUX OLIVIER	2015_ST31	IDHES U. PARIS 10
LEQUESNE CHRISTIAN	2009_ST1	CERI, SCIENCES PO PARIS
LEQUESNE CHRISTIAN	2017_ST69	CERI, SCIENCES PO PARIS
LERESCHE JEAN PHILIPPE	2009_ST121	IEPI, U. LAUSANNE (SUISSE)
LERESCHE JEAN PHILIPPE	2011_ST12	OSPS / IEPI, U. LAUSANNE (SUISSE)
LERESCHE JEAN PHILIPPE	2011_ST19	IEPI, U. LAUSANNE (SUISSE)
LERON NICOLAS	2015_ST29	CEE, SCIENCES PO PARIS
LEROUX PIERRE	2013_ST38	CRAPE / U. CATHOLIQUE OUEST
LEROY MAITE	2011_ST24	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
LEROY MARC	2013_ST8	U. REIMS
LESCLOUPE CLEMENT	2017_ST36	CESSP, U. PARIS 1
LESCURE JEAN CLAUDE	2009_ST7	U. PARIS 13 ; CRESC
LESNARD LAURENT	2009_ST13	SCIENCES PO, OSC
LETOURNEUR GUILLAUME	2017_ST48	CESSP, U. PARIS 1
LEVAILLANT MELISSA	2017_ST69	IRSEM
LEVATINO ANTONINA	2011_ST21	U. POMPEU FABRA, BARCELONA (ESPAGNE)
LEVEQUE ANTOINE	2017_ST11	U. LYON, TRIANGLE
LEVEQUE SANDRINE	2009_ST6	CRPS/ U. PARIS 1
LEVEQUE SANDRINE	2013_ST33	U. PARIS 1, UMR CESSP
LEVEQUE SANDRINE	2015_ST19	UPARIS 1, CESSP TEPSIS
LEVEQUE SANDRINE	2017_ST49	U. PARIS 1, CENTRE EUROPEEN DE SOCIOLOGIE ET DE SCIENCE POLITIQUE CESSP, CNRS
LEVER ANNABELLE	2013_ST66	U. GENEVE (SUISSE)
LEVESQUE JULIEN	2013_ST25	CEIAS EHESS PARIS
LEVESQUE PIERRE ANDRE	2009_ST22	NA
LEVY JULIEN	2017_ST51	UMR PACTE/U. GRENOBLE ALPES
LEWIS MICHAEL	2009_ST48	BECK U. LIOWA
LHENRY SOPHIE	2013_ST46	U. PARIS DIDEROT, CSPRP CEDREF
LHOMMEAU LEV	2017_ST20	U. CATHOLIQUE LOUVAIN (BELGIQUE)
LICKERT VICTORIA	2013_ST50	NA
LICKERT VICTORIA	2015_ST54	CESSP, U. PARIS 1
LIEUTAUD MARION	2017_ST37	LSE
LIGNIER WILFRIED	2011_ST52	ENS PARIS / CMH
LIGNIER WILFRIED	2013_ST35	CESSP,, CNRS EHESS PARIS
